,Start,Value,Duration
0,2022-12-12 12:34:09.893,VsDebugConsole.exe,0 days 00:00:03.003000
1,2022-12-12 12:34:12.896,firefox.exe,0 days 00:18:42.128000
2,2022-12-12 12:52:55.024,VsDebugConsole.exe,0 days 04:13:07.787000
3,2022-12-12 17:06:02.811,explorer.exe,0 days 00:00:12.003000
4,2022-12-12 17:06:14.814,VsDebugConsole.exe,0 days 00:00:42.004000
5,2022-12-12 17:06:56.818,firefox.exe,0 days 00:00:03.001000
6,2022-12-12 17:06:59.819,Teams.exe,0 days 00:00:03
7,2022-12-12 17:07:02.819,explorer.exe,0 days 00:00:30.004000
8,2022-12-12 17:07:32.823,SearchApp.exe,0 days 00:00:03.001000
9,2022-12-12 17:07:35.824,explorer.exe,0 days 00:00:03
10,2022-12-12 17:07:38.824,firefox.exe,0 days 00:00:09.001000
11,2022-12-12 17:07:47.825,explorer.exe,0 days 00:00:12.002000
12,2022-12-12 17:07:59.827,firefox.exe,0 days 00:00:06.001000
13,2022-12-12 17:08:05.828,LeagueClientUx.exe,0 days 00:00:12.002000
14,2022-12-12 17:08:17.830,explorer.exe,0 days 00:00:21.002000
15,2022-12-12 17:08:38.832,firefox.exe,0 days 00:00:18.002000
16,2022-12-12 17:08:56.834,Discord.exe,0 days 00:00:42.005000
17,2022-12-12 17:09:38.839,firefox.exe,0 days 00:02:54.023000
18,2022-12-12 17:12:32.862,Discord.exe,0 days 00:00:12.001000
19,2022-12-12 17:12:44.863,firefox.exe,0 days 00:03:33.025000
20,2022-12-12 17:16:17.888,SearchApp.exe,0 days 00:00:03.001000
21,2022-12-12 17:16:20.889,notepad.exe,0 days 00:03:39.029000
22,2022-12-12 17:19:59.918,firefox.exe,0 days 00:03:00.024000
23,2022-12-12 17:22:59.942,explorer.exe,0 days 00:00:30.004000
24,2022-12-12 17:23:29.946,firefox.exe,0 days 00:00:09.002000
25,2022-12-12 17:23:38.948,explorer.exe,0 days 00:00:15.002000
26,2022-12-12 17:23:53.950,firefox.exe,0 days 00:00:03
27,2022-12-12 17:23:56.950,explorer.exe,0 days 00:00:15.002000
28,2022-12-12 17:24:11.952,LeagueClientUx.exe,0 days 00:01:27.012000
29,2022-12-12 17:25:38.964,explorer.exe,0 days 00:00:24.003000
30,2022-12-12 17:26:02.967,LeagueClientUx.exe,0 days 00:00:09.001000
31,2022-12-12 17:26:11.968,firefox.exe,0 days 00:00:06.001000
32,2022-12-12 17:26:17.969,Teams.exe,0 days 00:00:03.001000
33,2022-12-12 17:26:20.970,LeagueClientUx.exe,0 days 00:00:18.003000
34,2022-12-12 17:26:38.973,firefox.exe,0 days 00:00:42.004000
35,2022-12-12 17:27:20.977,Teams.exe,0 days 00:00:03
36,2022-12-12 17:27:23.977,firefox.exe,0 days 00:00:09.632000
37,2022-12-12 17:27:33.609,League of Legends.exe,0 days 00:00:12.001000
38,2022-12-12 17:27:45.610,firefox.exe,0 days 00:00:03
39,2022-12-12 17:27:48.610,League of Legends.exe,0 days 00:03:51.014000
40,2022-12-12 17:31:39.624,firefox.exe,0 days 00:00:03
41,2022-12-12 17:31:42.624,League of Legends.exe,0 days 00:00:18
42,2022-12-12 17:32:00.624,firefox.exe,0 days 00:00:03.001000
43,2022-12-12 17:32:03.625,League of Legends.exe,0 days 00:00:03
44,2022-12-12 17:32:06.625,firefox.exe,0 days 00:00:03
45,2022-12-12 17:32:09.625,League of Legends.exe,0 days 00:00:03
46,2022-12-12 17:32:12.625,firefox.exe,0 days 00:00:03.001000
47,2022-12-12 17:32:15.626,League of Legends.exe,0 days 00:05:12.020000
48,2022-12-12 17:37:27.646,firefox.exe,0 days 00:00:09.001000
49,2022-12-12 17:37:36.647,League of Legends.exe,0 days 00:01:45.009000
50,2022-12-12 17:39:21.656,explorer.exe,0 days 00:00:03.001000
51,2022-12-12 17:39:24.657,League of Legends.exe,0 days 00:00:57.002000
52,2022-12-12 17:40:21.659,firefox.exe,0 days 00:00:03
53,2022-12-12 17:40:24.659,League of Legends.exe,0 days 00:01:12.006000
54,2022-12-12 17:41:36.665,firefox.exe,0 days 00:00:03
55,2022-12-12 17:41:39.665,League of Legends.exe,0 days 00:10:54.034000
56,2022-12-12 17:52:33.699,firefox.exe,0 days 00:00:21.001000
57,2022-12-12 17:52:54.700,LeagueClientUx.exe,0 days 00:01:00.009000
58,2022-12-12 17:53:54.709,firefox.exe,0 days 00:00:06
59,2022-12-12 17:54:00.709,LeagueClientUx.exe,0 days 00:01:00.009000
60,2022-12-12 17:55:00.718,firefox.exe,0 days 00:00:03.001000
61,2022-12-12 17:55:03.719,League of Legends.exe,0 days 00:00:06
62,2022-12-12 17:55:09.719,firefox.exe,0 days 00:00:06
63,2022-12-12 17:55:15.719,League of Legends.exe,0 days 00:07:57.028000
64,2022-12-12 18:03:12.747,firefox.exe,0 days 00:00:03
65,2022-12-12 18:03:15.747,League of Legends.exe,0 days 00:11:18.034000
66,2022-12-12 18:14:33.781,firefox.exe,0 days 00:00:15.002000
67,2022-12-12 18:14:48.783,LeagueClientUx.exe,0 days 00:16:57.993000
68,2022-12-12 18:31:46.776,firefox.exe,0 days 00:11:09.075000
69,2022-12-12 18:42:55.851,VsDebugConsole.exe,0 days 00:00:12.003000
70,2022-12-12 18:43:07.854,firefox.exe,0 days 00:01:12.005000
71,2022-12-12 18:44:19.859,ShellExperienceHost.exe,0 days 00:00:06.001000
72,2022-12-12 18:44:25.860,firefox.exe,0 days 00:00:12.001000
73,2022-12-12 18:44:37.861,ShellExperienceHost.exe,0 days 00:00:03
74,2022-12-12 18:44:40.861,firefox.exe,0 days 00:02:06.016000
75,2022-12-12 18:46:46.877,SearchApp.exe,0 days 00:00:06
76,2022-12-12 18:46:52.877,firefox.exe,0 days 00:01:33.013000
77,2022-12-12 18:48:25.890,explorer.exe,0 days 00:00:03
78,2022-12-12 18:48:28.890,vpnui.exe,0 days 00:00:09.001000
79,2022-12-12 18:48:37.891,firefox.exe,0 days 00:00:09
80,2022-12-12 18:48:46.891,vpndownloader.exe,0 days 00:00:03
81,2022-12-12 18:48:49.891,firefox.exe,0 days 00:06:57.155000
82,2022-12-12 18:55:47.046,VsDebugConsole.exe,0 days 00:00:03
83,2022-12-12 18:55:50.046,notepad.exe,0 days 00:00:03.001000
84,2022-12-12 18:55:53.047,Discord.exe,0 days 00:01:21.010000
85,2022-12-12 18:57:14.057,firefox.exe,0 days 00:01:09.006000
86,2022-12-12 18:58:23.063,Teams.exe,0 days 00:00:09
87,2022-12-12 18:58:32.063,explorer.exe,0 days 00:00:36.004000
88,2022-12-12 18:59:08.067,notepad++.exe,0 days 00:00:24.003000
89,2022-12-12 18:59:32.070,SearchApp.exe,0 days 00:00:03.001000
90,2022-12-12 18:59:35.071,explorer.exe,0 days 00:00:06.001000
91,2022-12-12 18:59:41.072,cmd.exe,0 days 00:00:06.001000
92,2022-12-12 18:59:47.073,explorer.exe,0 days 00:00:03
93,2022-12-12 18:59:50.073,firefox.exe,0 days 00:00:03
94,2022-12-12 18:59:53.073,vpnui.exe,0 days 00:00:03.001000
95,2022-12-12 18:59:56.074,firefox.exe,0 days 00:01:15.010000
96,2022-12-12 19:01:11.084,explorer.exe,0 days 00:00:03
97,2022-12-12 19:01:14.084,SearchApp.exe,0 days 00:00:36.003000
98,2022-12-12 19:01:50.087,explorer.exe,0 days 00:01:54.013000
99,2022-12-12 19:03:44.100,Teams.exe,0 days 00:01:21.011000
100,2022-12-12 19:05:05.111,explorer.exe,0 days 00:00:06.001000
101,2022-12-12 19:05:11.112,devenv.exe,0 days 00:00:15.001000
102,2022-12-12 19:05:26.113,explorer.exe,0 days 00:00:30.004000
103,2022-12-12 19:05:56.117,devenv.exe,0 days 00:00:03
104,2022-12-12 19:05:59.117,Discord.exe,0 days 00:00:03.001000
105,2022-12-12 19:06:02.118,devenv.exe,0 days 00:00:06.001000
106,2022-12-12 19:06:08.119,Discord.exe,0 days 00:00:15.002000
107,2022-12-12 19:06:23.121,devenv.exe,0 days 00:00:57.007000
108,2022-12-12 19:07:20.128,explorer.exe,0 days 00:00:24.005000
109,2022-12-12 19:07:44.133,devenv.exe,0 days 00:00:15.002000
110,2022-12-12 19:07:59.135,firefox.exe,0 days 00:00:39.005000
111,2022-12-12 19:08:38.140,devenv.exe,0 days 00:00:12.002000
112,2022-12-12 19:08:50.142,firefox.exe,0 days 00:04:09.031000
113,2022-12-12 19:12:59.173,Discord.exe,0 days 00:00:03.001000
114,2022-12-12 19:13:02.174,firefox.exe,0 days 00:00:03
115,2022-12-12 19:13:05.174,Discord.exe,0 days 00:00:18
116,2022-12-12 19:13:23.174,firefox.exe,0 days 00:04:45.035000
117,2022-12-12 19:18:08.209,devenv.exe,0 days 00:00:33.005000
118,2022-12-12 19:18:41.214,Discord.exe,0 days 00:00:09
119,2022-12-12 19:18:50.214,devenv.exe,0 days 00:00:21.002000
120,2022-12-12 19:19:11.216,explorer.exe,0 days 00:00:39.003000
121,2022-12-12 19:19:50.219,devenv.exe,0 days 00:00:12.001000
122,2022-12-12 19:20:02.220,explorer.exe,0 days 00:00:18.004000
123,2022-12-12 19:20:20.224,devenv.exe,0 days 00:00:03
124,2022-12-12 19:20:23.224,explorer.exe,0 days 00:00:06.001000
125,2022-12-12 19:20:29.225,devenv.exe,0 days 00:02:18.017000
126,2022-12-12 19:22:47.242,explorer.exe,0 days 00:00:42.005000
127,2022-12-12 19:23:29.247,devenv.exe,0 days 00:02:24.017000
128,2022-12-12 19:25:53.264,VsDebugConsole.exe,0 days 00:00:09.001000
129,2022-12-12 19:26:02.265,steam.exe,0 days 00:00:03
130,2022-12-12 19:26:05.265,steamwebhelper.exe,0 days 00:00:09.002000
131,2022-12-12 19:26:14.267,steam.exe,0 days 00:00:18.001000
132,2022-12-12 19:26:32.268,firefox.exe,0 days 00:05:09.033000
133,2022-12-12 19:31:41.301,steam.exe,0 days 00:00:03.001000
