MEASUREMENT_TIME	ID_INPUT	VALUE	PRIVATE_DATA
2023-02-05 21:23:13.482	2	Loading Microsoft Teams	0
2023-02-05 21:23:13.482	3	Teams.exe	0
2023-02-05 21:23:13.482	4	Chrome_WidgetWin_1	0
2023-02-05 21:23:13.482	5	\DISPLAY1	0
2023-02-05 21:23:23.744	2	Discord Updater	0
2023-02-05 21:23:23.744	3	Discord.exe	0
2023-02-05 21:23:23.744	4	Chrome_WidgetWin_1	0
2023-02-05 21:23:23.744	5	\DISPLAY1	0
2023-02-05 21:36:43.481	2	Running applications	0
2023-02-05 21:36:43.481	3	explorer.exe	0
2023-02-05 21:36:43.481	4	MSTaskListWClass	0
2023-02-05 21:36:43.481	5	\DISPLAY1	0
2023-02-05 21:36:50.995	2	(17) Can TikTok’s Transparency Ease Lawmakers’ Concerns? | Tech News Briefing Podcast | WSJ - YouTube — Mozilla Firefox	0
2023-02-05 21:36:50.995	3	firefox.exe	0
2023-02-05 21:36:50.995	4	MozillaWindowClass	0
2023-02-05 21:36:50.995	5	\DISPLAY1	0
