,0
0,\S0
0,VsDebugConsole.exe
0,firefox.exe
0,VsDebugConsole.exe
0,explorer.exe
0,VsDebugConsole.exe
0,firefox.exe
0,Teams.exe
0,explorer.exe
0,SearchApp.exe
0,explorer.exe
0,firefox.exe
0,explorer.exe
0,firefox.exe
0,LeagueClientUx.exe
0,explorer.exe
0,firefox.exe
0,Discord.exe
0,firefox.exe
0,Discord.exe
0,firefox.exe
0,SearchApp.exe
0,notepad.exe
0,firefox.exe
0,explorer.exe
0,firefox.exe
0,explorer.exe
0,firefox.exe
0,explorer.exe
0,LeagueClientUx.exe
0,explorer.exe
0,LeagueClientUx.exe
0,firefox.exe
0,Teams.exe
0,LeagueClientUx.exe
0,firefox.exe
0,Teams.exe
0,firefox.exe
0,League of Legends.exe
0,firefox.exe
0,League of Legends.exe
0,firefox.exe
0,League of Legends.exe
0,firefox.exe
0,League of Legends.exe
0,firefox.exe
0,League of Legends.exe
0,firefox.exe
0,League of Legends.exe
0,firefox.exe
0,League of Legends.exe
0,explorer.exe
0,League of Legends.exe
0,firefox.exe
0,League of Legends.exe
0,firefox.exe
0,League of Legends.exe
0,firefox.exe
0,LeagueClientUx.exe
0,firefox.exe
0,LeagueClientUx.exe
0,firefox.exe
0,League of Legends.exe
0,firefox.exe
0,League of Legends.exe
0,firefox.exe
0,League of Legends.exe
0,firefox.exe
0,LeagueClientUx.exe
0,firefox.exe
0,VsDebugConsole.exe
0,firefox.exe
0,ShellExperienceHost.exe
0,firefox.exe
0,ShellExperienceHost.exe
0,firefox.exe
0,SearchApp.exe
0,firefox.exe
0,explorer.exe
0,vpnui.exe
0,firefox.exe
0,vpndownloader.exe
0,firefox.exe
0,VsDebugConsole.exe
0,notepad.exe
0,Discord.exe
0,firefox.exe
0,Teams.exe
0,explorer.exe
0,notepad++.exe
0,SearchApp.exe
0,explorer.exe
0,cmd.exe
0,explorer.exe
0,firefox.exe
0,vpnui.exe
0,firefox.exe
0,explorer.exe
0,SearchApp.exe
0,explorer.exe
0,Teams.exe
0,explorer.exe
0,devenv.exe
0,explorer.exe
0,devenv.exe
0,Discord.exe
0,devenv.exe
0,Discord.exe
0,devenv.exe
0,explorer.exe
0,devenv.exe
0,firefox.exe
0,devenv.exe
0,firefox.exe
0,Discord.exe
0,firefox.exe
0,Discord.exe
0,firefox.exe
0,devenv.exe
0,Discord.exe
0,devenv.exe
0,explorer.exe
0,devenv.exe
0,explorer.exe
0,devenv.exe
0,explorer.exe
0,devenv.exe
0,explorer.exe
0,devenv.exe
0,VsDebugConsole.exe
0,steam.exe
0,steamwebhelper.exe
0,steam.exe
0,firefox.exe
0,steam.exe
0,firefox.exe
0,Yakuza0.exe
0,firefox.exe
0,Yakuza0.exe
0,firefox.exe
0,Yakuza0.exe
0,firefox.exe
0,Yakuza0.exe
0,firefox.exe
0,Yakuza0.exe
0,firefox.exe
0,Yakuza0.exe
0,firefox.exe
0,VsDebugConsole.exe
0,\S1
1,\S0
1,explorer.exe
1,SearchApp.exe
1,explorer.exe
1,chrome.exe
1,Zoom.exe
1,chrome.exe
1,explorer.exe
1,Teams.exe
1,chrome.exe
1,Discord.exe
1,Teams.exe
1,chrome.exe
1,Teams.exe
1,chrome.exe
1,firefox.exe
1,chrome.exe
1,firefox.exe
1,chrome.exe
1,firefox.exe
1,chrome.exe
1,firefox.exe
1,chrome.exe
1,firefox.exe
1,chrome.exe
1,firefox.exe
1,chrome.exe
1,Discord.exe
1,chrome.exe
1,SearchApp.exe
1,explorer.exe
1,Talkdesk.exe
1,chrome.exe
1,Talkdesk.exe
1,chrome.exe
1,Discord.exe
1,chrome.exe
1,Discord.exe
1,chrome.exe
1,Discord.exe
1,chrome.exe
1,Discord.exe
1,ScreenClippingHost.exe
1,Discord.exe
1,explorer.exe
1,msedge.exe
1,Discord.exe
1,chrome.exe
1,Discord.exe
1,chrome.exe
1,firefox.exe
1,Discord.exe
1,msedge.exe
1,explorer.exe
1,Talkdesk.exe
1,firefox.exe
1,chrome.exe
1,Talkdesk.exe
1,Discord.exe
1,Talkdesk.exe
1,chrome.exe
1,Discord.exe
1,Talkdesk.exe
1,Discord.exe
1,chrome.exe
1,Talkdesk.exe
1,chrome.exe
1,Talkdesk.exe
1,chrome.exe
1,Discord.exe
1,chrome.exe
1,Discord.exe
1,chrome.exe
1,Discord.exe
1,chrome.exe
1,Discord.exe
1,chrome.exe
